Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
開案縣市_1,開案縣市_2,開案縣市_3,年度,機關名稱  ,標案案號,標案名稱,招標方式,標的分類,公告日期,決標金額,決標公告,無法決標,功能選項,關鍵字,決標方式,預算金額,擴充,擴充金額,補助,投標廠商數,得標廠商,投標廠商1,投標廠商2
六都,臺北市,停管處,111,臺北市停車管理工程處,1102018-3,110年福林公園等8處停車場監視系統設備租賃案第3次契約變更,限制性招標(未經公開評選或公開徵求),財物類,111/11/15,4869072,1,,檢視,(租賃)&(監視),原公告案號：1102018,,,,,1,大猩猩科技股份有限公司,大猩猩科技股份有限公司,
六都,臺北市,停管處,111,臺北市停車管理工程處,1102011-3,110年松山車站等7處停車場監視系統設備租賃案第3次契約變更,限制性招標(未經公開評選或公開徵求),財物類,111/11/15,837186,1,,檢視,(租賃)&(監視),原公告案號：1102011,,,,,1,大猩猩科技股份有限公司,,
六都,臺北市,停管處,112,臺北市停車管理工程處,1102011-4,110年松山車站等7處停車場監視系統設備租賃案第4次契約變更,限制性招標(未經公開評選或公開徵求),財物類,112/09/06,3348744,1,,檢視,(租賃)&(監視),原公告案號：1102011,,,,,1,大猩猩科技股份有限公司,,
六都,臺北市,交工處,111,臺北市交通管制工程處,te109046-2,109年度臺北市智慧影像事件偵測系統及路口流量偵測器租賃案-111年度後續擴充,限制性招標(未經公開評選或公開徵求),財物類,111/01/03,4002540,1,,檢視,(租賃)&(監錄),原公告案號：te109046,,,,,1,亞太電信股份有限公司,,
六都,臺北市,交工處,111,臺北市交通管制工程處,te11104700,111年度臺北市建國高架智慧影像事件偵測器租賃案,公開取得報價單或企劃書,財物類,111/07/29,993000,1,,檢視,(租賃)&(監錄),參考最有利標精神,998335,,,,2,亞太電信股份有限公司,用新科際整合有限公司,
六都,臺北市,交工處,112,臺北市交通管制工程處,te11201000,112年度臺北市智慧影像事件偵測系統及路口流量偵測器租賃案,限制性招標(未經公開評選或公開徵求),財物類,112/01/10,421740,1,,檢視,(租賃)&(監錄),原公告案號：te109046,,,,,1,亞太電信股份有限公司,,
六都,臺北市,交工處,112,臺北市交通管制工程處,te11201100,112-115年度臺北市智慧影像事件偵測系統及路口流量偵測器租賃案,公開招標,財物類,112/01/19,21530001,1,,檢視,(租賃)&(監錄),最有利標,21532200,"擴充上限為5年租期預估費用為新臺幣1,234萬8,000元。",12348000,,3,亞太電信股份有限公司,鼎漢國際工程顧問股份有限公司,	國棟電信工程股份有限公司
六都,臺北市,交工處,112,臺北市交通管制工程處,te109046-2,109年度臺北市智慧影像事件偵測系統及路口流量偵測器租賃案-111年度後續擴充,限制性招標(未經公開評選或公開徵求),財物類,112/06/19,4002540,1,,檢視,(租賃)&(監錄),原公告案號：te109046,,,,,1,亞太電信股份有限公司,,
六都,臺北市,交工處,112,臺北市交通管制工程處,te109046-3,109年度臺北市智慧影像事件偵測系統及路口流量偵測器租賃案-111年度後續擴充(第1次契約變更:擴充),限制性招標(未經公開評選或公開徵求),財物類,112/06/19,1245096,1,,檢視,(租賃)&(監錄),原公告案號：te109046,,,,,1,亞太電信股份有限公司,,
六都,臺北市,停管處,111,臺北市停車管理工程處,1112016,111年嘉興公園等6處停車場監視系統設備租賃案,公開招標,財物類,111/09/16,3269000,1,,檢視,(租賃)&(監視),最低標,4115800,,,,1,金頻道有線電視股份有限公司,,
六都,臺北市,環保局,111,臺北市政府環境保護局,111m055,資源回收場區車牌辨識系統租賃,限制性招標(未經公開評選或公開徵求),財物類,111/06/07,124425,1,,檢視,(租賃)&(辨識),原為10萬以下小額請購,,,,,1,悅明達科技有限公司,,
